game_id;game_name;uuid;timestamp;1) Qual a sua idade? (favor responder em quantidade de anos);2) Qual é o seu gênero?;3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?;4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?;5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?;6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?;7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?;8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?;6
2;Tetris;6;1,60571E+12;20;1;6;4;3;4;4;3;2
2;Tetris;15;1,60572E+12;23;1;4;3;2;4;2;3;2
2;Tetris;33;1,60579E+12;34;1;1;3;4;4;4;2;1
2;Tetris;38;1,6058E+12;21;2;1;2;3;3;4;3;2
2;Tetris;41;1,60581E+12;45;1;2;1;3;2;3;3;2
2;Tetris;47;1,60584E+12;20;2;3;2;3;3;3;4;1
2;Tetris;50;1,60588E+12;31 ;2;2;2;2;2;3;3;1
2;Tetris;55;1,6059E+12;21;1;3;3;3;3;2;4;2
2;Tetris;56;1,6059E+12;18;1;5;3;2;3;4;3;2
2;Tetris;57;1,6059E+12;19;1;3;3;2;3;2;2;2
2;Tetris;61;1,606E+12;21;1;5;3;3;3;4;4;2
2;Tetris;64;1,60615E+12;34;1;1;2;4;4;4;4;2
2;Tetris;65;1,60615E+12;42;1;6;4;4;4;4;3;2
2;Tetris;72;1,60616E+12;45;1;4;3;3;4;4;2;1
2;Tetris;73;1,60616E+12;11;1;2;3;4;3;4;1;2
2;Tetris;76;1,60616E+12;40;1;6;3;3;4;4;3;2
2;Tetris;77;1,60617E+12;43;2;1;1;2;2;3;2;1
2;Tetris;79;1,60617E+12;45;1;3;2;3;3;4;3;2
2;Tetris;80;1,60617E+12;14;1;5;3;2;2;1;3;2
2;Tetris;82;1,60618E+12;24;2;1;2;3;2;3;3;2
2;Tetris;88;1,60627E+12;25;2;1;1;3;2;3;3;2
2;Tetris;89;1,60632E+12;68;2;1;1;1;1;1;1;1
2;Tetris;96;1,60675E+12;22;1;3;3;2;3;4;3;2
2;Tetris;109;1,60764E+12;21;1;4;2;3;3;2;4;2
2;Tetris;113;1,60765E+12;28;2;1;1;2;2;2;3;1
2;Tetris;121;1,60799E+12;41;1;3;4;4;4;4;3;1
2;Tetris;124;1,60814E+12;43;1;1;2;4;4;4;3;2
2;Tetris;125;1,60877E+12;8;2;6;2;3;2;3;3;1
2;Tetris;129;1,61136E+12;27;2;4;3;3;4;4;2;2
2;Tetris;150;1,61307E+12;33;1;2;3;4;4;4;3;1
2;Tetris;151;1,61307E+12;35;1;2;2;3;3;3;4;2
2;Tetris;157;1,6142E+12;18;1;1;2;2;2;3;3;2
2;Tetris;174;1,61421E+12;19;1;6;3;4;3;4;3;2
2;Tetris;186;1,61421E+12;18;1;5;3;3;4;2;3;2
2;Tetris;187;1,61421E+12;42;2;2;3;3;4;4;3;2
2;Tetris;188;1,61421E+12;24;1;5;3;3;3;2;3;2
2;Tetris;192;1,61421E+12;33;1;2;2;3;4;4;1;2
2;Tetris;194;1,61421E+12;49;1;4;3;3;3;3;3;2
2;Tetris;195;1,61421E+12;28;2;1;2;3;2;3;3;2
2;Tetris;197;1,61422E+12;37;2;2;2;3;2;2;3;1
2;Tetris;198;1,61422E+12;21;2;1;3;4;4;4;4;2
2;Tetris;199;1,61422E+12;33;2;1;2;4;3;4;3;2
2;Tetris;200;1,61434E+12;23;1;2;3;4;4;4;3;2
2;Tetris;206;1,61473E+12;23;1;2;2;2;2;2;4;2
2;Tetris;210;1,61473E+12;23;1;2;4;4;4;4;3;2
2;Tetris;213;1,61473E+12;23;2;2;3;3;4;3;3;2
2;Tetris;216;1,61473E+12;30;2;5;4;4;4;4;3;2
2;Tetris;219;1,61473E+12;35;1;6;2;3;3;4;2;2
2;Tetris;221;1,61473E+12;46;1;1;2;3;2;4;3;1
2;Tetris;223;1,61473E+12;29;1;4;2;3;3;4;3;1
2;Tetris;225;1,61473E+12;20;1;2;3;3;3;3;3;2
2;Tetris;227;1,61473E+12;21;1;6;4;3;3;3;5;2
2;Tetris;230;1,61473E+12;48;1;1;2;3;4;4;3;2
2;Tetris;239;1,61473E+12;22;1;6;4;4;4;4;1;2
2;Tetris;240;1,61473E+12;23;2;3;2;4;4;4;3;2
2;Tetris;241;1,61473E+12;21;1;1;2;2;2;2;4;2
2;Tetris;251;1,61482E+12;19;1;5;3;3;4;4;5;2
2;Tetris;253;1,61482E+12;25;1;3;4;2;4;4;2;2
2;Tetris;255;1,61482E+12;20;2;3;2;1;3;2;3;1
2;Tetris;257;1,61482E+12;22;1;3;3;2;3;2;2;1
2;Tetris;265;1,61593E+12;25;1;3;3;4;4;3;5;2
2;Tetris;267;1,61602E+12;19;1;6;3;3;4;2;1;2
